Item_name,ID,Category,URL,Image_file
KORVTRÄD คอร์ฟแทรด,10.0,clock,https://www.ikea.com/th/th/p/korvtraed-wall-clock-multicolour-00570335/,clock/clock10.png
NOLLÅTTA นุลล์แลทต้า,11.0,clock,https://www.ikea.com/th/th/p/nollatta-alarm-clock-white-70499350/,clock/clock11.png
TAGGAD ทอคกอด,12.0,clock,https://www.ikea.com/th/th/p/taggad-wall-clock-white-grey-80466293/,clock/clock12.png
JÄNKIG แยนคิก,13.0,clock,https://www.ikea.com/th/th/p/jaenkig-wall-clock-copper-colour-50534038/,clock/clock13.png
KUTTERSMYCKE กุตเติชมิกเก,14.0,clock,https://www.ikea.com/th/th/p/kuttersmycke-wall-clock-black-60520516/,clock/clock14.png
PUGG พุกก์,15.0,clock,https://www.ikea.com/th/th/p/pugg-wall-clock-stainless-steel-70540854/,clock/clock15.png
SÖNDRUM เซินดรุม,16.0,clock,https://www.ikea.com/th/th/p/soendrum-wall-clock-white-30540865/,clock/clock16.png
IKEA PS 1995 อิเกีย พีเอส 1995,17.0,clock,https://www.ikea.com/th/th/p/ikea-ps-1995-clock-blue-00575069/,clock/clock17.png
STURSK สตูร์ช,18.0,clock,https://www.ikea.com/th/th/p/stursk-wall-clock-black-80540863/,clock/clock18.png
BONDTOLVAN บอนด์โทลวาน,19.0,clock,https://www.ikea.com/th/th/p/bondtolvan-alarm-clock-analog-pale-pink-70511012/,clock/clock19.png
PLUGGET พลุกเกียต,20.0,clock,https://www.ikea.com/th/th/p/plugget-alarm-clock-white-20522720/,clock/clock20.png
BILLY บิลลี่,1.0,book,https://www.ikea.com/th/th/p/billy-bookcase-black-oak-effect-20477341/#content,book/book1.png
BAGGEBO บักเกบู,2.0,book,https://www.ikea.com/th/th/p/baggebo-bookcase-white-10483880/,book/book2.png
BILLY บิลลี่ บานปิด,3.0,book,https://www.ikea.com/th/th/p/billy-bookcase-with-doors-white-s99528347/,book/book3.png
LAIVA ไลว่า,4.0,book,https://www.ikea.com/th/th/p/laiva-bookcase-black-brown-20178592/,book/book4.png
BILLY บิลลี่ / OXBERG อ็อกเบรย์,5.0,book,https://www.ikea.com/th/th/p/billy-oxberg-bookcase-with-glass-doors-white-s39545359/,book/book5.png
BILLY บิลลี่ เข้ามุม+ส่วนขยาย,6.0,book,https://www.ikea.com/th/th/p/billy-bookcase-corner-comb-w-ext-units-white-s39528369/,book/book6.png
BRIMNES บริมเนส,7.0,book,https://www.ikea.com/th/th/p/brimnes-bookcase-white-10351686/,book/book7.png
HEMNES เฮมเนส,8.0,book,https://www.ikea.com/th/th/p/hemnes-bookcase-white-stain-light-brown-80413501/,book/book8.png
